organization,DISTRICT_ID,TYPE,COUNTY,COGO_ACRES,PLAT_ACRES,DIGITIZED,STATUS,CREATION_DATE,BNDRY_CHANGE,METHOD,SOURCE,ACCURACY,COMMENTS,INITIALS,UPDATED,TX_CNTY,FIPS,SHAPEAREA,SHAPELEN
Las Lomas MUD 3,5363501,MUD,Kaufman,289.2501863,288.239,N,A,2006/05/23 00:00:00+00,,MB,FN/MAP,NP,las_lomas_mud3.shp,SFA,,129,257,0.000112579,0.056807631
North Harris County Regional Water Authority,5984800,RA,Harris,214989.7538,0,Y,A,1999/06/19 00:00:00+00,,OSD,MAP,NP,n_harris_co_rwa.shp,SFA,,101,201,0.081372726,2.598787238
Palo Duro River Authority,6510000,OTH,Hansford,1171214.267,0,N,A,1973/06/14 00:00:00+00,,L,OTH,NP,palo_duro_ra.shp,SFA,,98,195,0.474117718,3.914713901
Spring Branch Management District,7591650,MMD,Harris,13907.12134,0,N,A,2003/06/20 00:00:00+00,,E,SHP,NP,spring_branch_md.shp,SFA,,101,201,0.005252304,0.384580289
Trinity River Authority of Texas,8000000,RA,Dallas,7530444.616,0,N,A,1955/09/06 00:00:00+00,,E,SHP,NP,trinity_ra.shp,SFA,,57,113,2.896108317,14.76225496
Victoria County Drainage District 3,8290000,DD,Victoria,81846.10492,0,N,A,1915/07/12 00:00:00+00,,SHP,OTH,NP,victoria_dd3.shp,SFA,2009/02/19 00:00:00+00,235,469,0.030606062,1.142177976
West Cedar Creek MUD,8469000,MUD,Henderson,15284.65987,15252,N,A,1975/06/03 00:00:00+00,,MB,FN,NP,west_cedar_creek_mud.shp,SFA,2009/02/19 00:00:00+00,107,213,0.00592303,0.49915489
Bistone Municipal Water Supply District,1545000,OTH,Limestone,4141.09273,0,Y,A,1957/08/12 00:00:00+00,,OSD,MAP,NP,bistone.mwsd.shp,SFA,2009/02/25 00:00:00+00,147,293,0.001594012,0.321819158
Delta Lake Irrigation District,2721400,ID,Hidalgo,85610.73879,0,N,A,1914/06/22 00:00:00+00,2003/06/25 00:00:00+00,SHP,OTH,NP,delta_lake_id.shp,SFA,2009/02/25 00:00:00+00,108,215,0.031348609,1.916894765
Hidalgo County Irrigation District 5,4445240,ID,Hidalgo,8100.516227,0,N,A,1925/04/11 00:00:00+00,1994/04/14 00:00:00+00,SHP,OTH,NP,hidalgo_id5.shp,SFA,2009/02/26 00:00:00+00,108,215,0.00295775,0.322794226
Hidalgo County Irrigation District 13,4445288,ID,Hidalgo,2182.756474,0,N,A,1936/05/25 00:00:00+00,,SHP,OTH,NP,hidalgo_id13.shp,SFA,2009/02/26 00:00:00+00,108,215,0.000798843,0.173550629
Hidalgo County MUD 1,4445300,MUD,Hidalgo,2023.557658,0,N,A,1947/04/22 00:00:00+00,,SHP,OTH,NP,hidalgo_mud1.shp,SFA,2009/02/26 00:00:00+00,108,215,0.000739861,0.128292117
Fort Bend County MUD 238,3079875,MUD,Fort Bend,705.6217653,705,N,I,2019/05/24 00:00:00+00,,MB,FN,NP, ,ks,2019/08/06 00:00:00+00,79,157,0.000265849,0.102928445
Jefferson Water - Sewer Dist,5050000,OTH,Marion,2839.187092,2560,Y,A,1957/05/31 00:00:00+00,,OSD,OTHH,NP,jefferson_wsd.shp,SFA,2009/02/10 00:00:00+00,158,315,0.001105682,0.195843053
Johnson County FWSD 2,5090050,FWSD,Johnson,752.4160752,752.86,N,A,2004/08/26 00:00:00+00,,SHP,OTH,NP,johnson_fwsd2.shp,SFA,2009/02/10 00:00:00+00,126,251,0.000292149,0.086451801
Plum Creek MD 1B,7111875,MD,Liberty,1195.684859,1195.67,N,I,2020/10/27 00:00:00+00,,MB,FN,P, ,gn,2021/10/18 00:00:00+00,146,291,0.000453135,0.138682089
Fort Bend County MUD 231,3079825,MUD,Fort Bend,309.2977539,309.21,N,I,2019/05/24 00:00:00+00,,MB,FN,P, ,ks,2019/08/13 00:00:00+00,79,157,0.000116404,0.051087196
Harris County MUD 571,9000008,MUD,Harris,155.4668923,155.4,N,I,2019/05/24 00:00:00+00,,MB,FN,P, ,ks,2019/08/20 00:00:00+00,101,201,5.89E-05,0.044530012
Northeast Burnet County Water District 1,5975625,MUD,Burnet,1862.717989,1863.573,N,I,2019/06/07 00:00:00+00,,MB,FN,P, ,ks,2019/09/05 00:00:00+00,27,53,0.000711213,0.120623579
Fort Bend County MUD 222,3080563,MUD,Fort Bend,1309.518406,1309.2,N,I,2019/06/10 00:00:00+00,,MB,FN,P, ,ks,2019/09/06 00:00:00+00,79,157,0.000494186,0.097999482
Lannius MUD,5356000,MUD,Fannin,5374.17399,0,Y,A,1973/06/15 00:00:00+00,,OSD,MAP,NP,lannius_mud.shp,SFA,2009/02/10 00:00:00+00,74,147,0.002113316,0.190872689
